For cutoff of 0.5, we get the following, with ~80-90 exposed residues per sequence:
Idx     Mean     Std     # Exposed Residues
0     -0.0523255813953488     0.485247479415475     86
1     -0.0517241379310345     0.482450640677006     87
2     -0.0511363636363636     0.479701611800124     88
3     -0.0523255813953488     0.485247479415475     86
4     -0.0505617977528090     0.476999046002862     89
5     -0.0505617977528090     0.476999046002862     89
6     -0.0454545454545455     0.452267016866646     99
7     -0.0523255813953488     0.485247479415475     86
8     -0.0523255813953488     0.485247479415475     86
9     -0.0542168674698795     0.493939169953606     83
10     -0.0511363636363636     0.479701611800124     88
11     -0.0529411764705882     0.488093530091978     85
12     -0.0489130434782609     0.469157431628417     92
13     -0.0459183673469388     0.454568645048495     98
14     -0.0542168674698795     0.493939169953606     83
15     -0.0535714285714286     0.490990253030982     84
16     -0.0523255813953488     0.485247479415475     86
17     -0.0542168674698795     0.493939169953606     83
18     -0.0494505494505495     0.471728176524864     91
19     -0.0529411764705882     0.488093530091978     85
20     -0.0459183673469388     0.454568645048495     98

For a cutoff of 0.75, I get
0     -0.109756097560976     0.702781928498727     41
1     -0.109756097560976     0.702781928498727     41
2     -0.107142857142857     0.694365074829414     42
3     -0.109756097560976     0.702781928498727     41
4     -0.109756097560976     0.702781928498727     41
5     -0.125000000000000     0.750000000000000     36
6     -0.128571428571429     0.760638829255666     35
7     -0.109756097560976     0.702781928498727     41
8     -0.118421052631579     0.729996395088432     38
9     -0.107142857142857     0.694365074829414     42
10     -0.0818181818181818     0.606779876216919     55
11     -0.109756097560976     0.702781928498727     41
12     -0.121621621621622     0.739795442874107     37
13     -0.160714285714286     0.850420064270762     28
14     -0.0937500000000000     0.649519052838329     48
15     -0.121621621621622     0.739795442874107     37
16     -0.109756097560976     0.702781928498727     41
17     -0.0937500000000000     0.649519052838329     48
18     -0.140625000000000     0.795495128834866     32
19     -0.100000000000000     0.670820393249938     45
20     -0.145161290322581     0.808223859120487     31

For a cutoff of 0.9:
0     -0.214285714285714     0.981980506061966     21
1     -0.214285714285714     0.981980506061966     21
2     -0.204545454545455     0.959403223600247     22
3     -0.214285714285714     0.981980506061966     21
4     -0.214285714285714     0.981980506061966     21
5     -0.214285714285714     0.981980506061966     21
6     -0.264705882352941     1.09141031266350     17
7     -0.214285714285714     0.981980506061966     21
8     -0.204545454545455     0.959403223600247     22
9     -0.195652173913044     0.938314863256837     23
10     -0.173076923076923     0.882522608121827     26
11     -0.214285714285714     0.981980506061966     21
12     -0.214285714285714     0.981980506061966     21
13     -0.264705882352941     1.09141031266350     17
14     -0.225000000000000     1.00623058987491     20
15     -0.204545454545455     0.959403223600247     22
16     -0.214285714285714     0.981980506061966     21
17     -0.187500000000000     0.918558653543692     24
18     -0.250000000000000     1.06066017177982     18
19     -0.195652173913044     0.938314863256837     23
20     -0.250000000000000     1.06066017177982     18
